block,trial,phase,trial_type,is_studied,image_path,image_onset,participant_first,participant_slider_value,participant_rt,participant_commit_time,participant_slider_timeout,participant_slider_stop_time,ai_slider_value,ai_rt,ai_decision_time,ai_slider_display_time,ai_correct,switch_stay_decision,switch_rt,switch_commit_time,switch_timeout,decision_onset_time,final_answer,used_ai_answer,ground_truth,participant_accuracy,euclidean_participant_to_truth,euclidean_ai_to_truth,euclidean_participant_to_ai,outcome_time,coins_earned,social_feedback,social_feedback_time,block_start_time,block_end_time,block_duration_seconds,block_duration_minutes
2,8,recognition,studied,True,STIMULI/SMALL_OBJECT/Blender/Image_073.jpg,1764914172.667451,True,0.9907653477253426,7.029487133026123,1764914180.77551,True,,0.6500050517201958,1.4331548244380297,1764914182.371734,1764914183.605522,False,switch,3.2676658630371094,1764914190.14178,False,1764914186.874114,0.6500050517201958,True,0.0,False,0.9907653477253426,0.6500050517201958,0.3407602960051468,1764914190.148542,0.8499949482798042,True,1764914191.691047,1764914003.469654,1764914270.058044,266.58838987350464,4.443139831225078
2,9,recognition,lure,False,STIMULI/VEHICLE/Bike/Lure_092.jpg,1764914194.2586508,True,0.23246121458413624,7.012941122055054,1764914202.344002,True,1764914200.0954182,0.12022426728014572,1.2567680549561682,1764914203.902097,1764914204.932204,False,switch,1.9247899055480957,1764914210.1276171,False,1764914208.202825,0.12022426728014572,True,1.0,False,0.7675387854158637,0.8797757327198543,0.11223694730399052,1764914210.1406982,0.12022426728014568,False,,1764914003.469654,1764914270.058044,266.58838987350464,4.443139831225078
2,10,recognition,lure,False,STIMULI/INSECT/Fly/Lure_057.jpg,1764914212.185875,True,0.2274166141812346,7.011705160140991,1764914220.247013,True,,0.10885477710460338,1.4552114789910917,1764914221.773453,1764914222.947413,False,switch,7.0,1764914233.2265978,True,1764914226.215095,0.10885477710460338,True,1.0,False,0.7725833858187654,0.8911452228953967,0.11856183707663122,1764914234.741629,0.6088547771046033,True,1764914236.282442,1764914003.469654,1764914270.058044,266.58838987350464,4.443139831225078
3,1,recognition,lure,False,STIMULI/BIG_OBJECT/Chandelier/Lure_014.jpg,1764914305.2001522,True,0.007568314418657041,7.006881237030029,1764914313.412765,True,1764914308.376321,0.15409584370869686,0.5566659388423647,1764914315.0461829,1764914315.73383,False,stay,3.1056528091430664,1764914322.2876039,False,1764914319.181951,0.007568314418657041,False,1.0,False,0.992431685581343,0.8459041562913031,0.14652752929003982,1764914322.292375,0.007568314418657018,False,,1764914273.610625,1764914537.8134441,264.202819108963,4.403380318482717
3,2,recognition,lure,False,STIMULI/FOOD/Ice_cream/Lure_036.jpg,1764914324.476979,True,0.012152777777777804,4.686892986297607,1764914330.316531,False,1764914329.403289,0.17147421818130942,1.5583455440376228,1764914330.3258948,1764914331.6660469,False,switch,0.8996720314025879,1764914336.102613,False,1764914335.20294,0.17147421818130942,True,1.0,False,0.9878472222222222,0.8285257818186906,0.15932144040353163,1764914336.1094458,0.17147421818130937,False,,1764914273.610625,1764914537.8134441,264.202819108963,4.403380318482717
3,3,recognition,studied,True,STIMULI/BIG_ANIMAL/Hippopotamus/Image_007.jpg,1764914338.3097322,True,0.9652777777777778,3.743644952774048,1764914343.1940339,False,1764914342.518071,0.3884537153401198,3.822307377133012,1764914343.2073998,1764914346.357882,True,switch,4.170474052429199,1764914354.0698109,False,1764914349.899335,0.3884537153401198,True,0.0,True,0.9652777777777778,0.3884537153401198,0.5768240624376579,1764914354.079686,1.1115462846598803,True,1764914355.7149282,1764914273.610625,1764914537.8134441,264.202819108963,4.403380318482717
3,4,recognition,studied,True,STIMULI/INSECT/Wasp/Image_060.jpg,1764914358.495044,True,0.0,4.831079959869385,1764914364.48118,False,1764914363.657038,0.6581242724345042,2.2221950616443213,1764914364.538145,1764914366.445838,False,stay,1.9265332221984863,1764914371.8208,False,1764914369.8942668,0.0,False,0.0,True,0.0,0.6581242724345042,0.6581242724345042,1764914371.828448,1.0,False,,1764914273.610625,1764914537.8134441,264.202819108963,4.403380318482717
3,5,recognition,lure,False,STIMULI/VEHICLE/Jetski/Lure_099.jpg,1764914374.052011,True,1.0,4.2604310512542725,1764914379.429583,False,1764914377.0326998,0.06623872762506487,2.313278111874084,1764914379.439649,1764914381.383022,False,switch,4.098484992980957,1764914389.1049988,False,1764914385.0065112,0.06623872762506487,True,1.0,False,0.0,0.9337612723749351,0.9337612723749351,1764914389.1754382,0.5662387276250649,True,1764914391.2282162,1764914273.610625,1764914537.8134441,264.202819108963,4.403380318482717
3,6,recognition,studied,True,STIMULI/BIRD/Duck/Image_022.jpg,1764914394.504228,True,0.006944444444444489,6.3067450523376465,1764914402.283148,False,1764914399.474837,0.7136646093686004,2.6456772778467363,1764914402.4376462,1764914405.684563,False,switch,1.0665059089660645,1764914410.159342,False,1764914409.0928361,0.7136646093686004,True,0.0,False,0.006944444444444489,0.7136646093686004,0.7067201649241559,1764914410.162294,0.7863353906313996,True,1764914411.786676,1764914273.610625,1764914537.8134441,264.202819108963,4.403380318482717
3,7,recognition,studied,True,STIMULI/FRUIT/Strawberry/Image_049.jpg,1764914414.390771,True,0.0,5.670094966888428,1764914421.152642,False,1764914419.9153862,0.693510847444947,2.2853481777335194,1764914421.1898859,1764914423.0903318,False,switch,1.004012107849121,1764914428.004215,False,1764914427.000202,0.693510847444947,True,0.0,False,0.0,0.693510847444947,0.693510847444947,1764914428.018145,0.806489152555053,True,1764914429.7766001,1764914273.610625,1764914537.8134441,264.202819108963,4.403380318482717
