block,trial,phase,trial_type,is_studied,image_path,image_onset,participant_first,participant_slider_value,participant_rt,participant_commit_time,participant_slider_timeout,participant_slider_stop_time,ai_slider_value,ai_rt,ai_decision_time,ai_slider_display_time,ai_correct,switch_stay_decision,switch_rt,switch_commit_time,switch_timeout,decision_onset_time,final_answer,used_ai_answer,ground_truth,participant_accuracy,euclidean_participant_to_truth,euclidean_ai_to_truth,euclidean_participant_to_ai,outcome_time,coins_earned,social_feedback,social_feedback_time
1,6,recognition,lure,False,PLACEHOLDERS/LURE_97.png,1764824175.536344,True,0.6070574632059712,7.014025926589966,1764824183.604574,True,1764824180.7728589,1.0,1.8816700926791523,1764824185.1230452,1764824186.632725,True,stay,6.212655067443848,1764824196.070328,False,1764824189.857672,0.6070574632059712,False,1.0,True,0.3929425367940288,0.0,0.3929425367940288,1764824196.071567,0.6070574632059712,False,
1,7,recognition,lure,False,PLACEHOLDERS/LURE_72.png,1764824198.099709,True,0.0,2.7643017768859863,1764824201.904413,False,1764824200.870883,0.06968976657054907,0.9091159657759623,1764824201.905851,1764824202.6328242,False,stay,1.2214219570159912,1764824207.107152,False,1764824205.88573,0.0,False,1.0,False,1.0,0.930310233429451,0.06968976657054907,1764824207.111362,0.0,False,
1,8,recognition,lure,False,PLACEHOLDERS/LURE_75.png,1764824209.13603,True,0.0,3.9671590328216553,1764824214.138772,False,1764824212.0550568,0.9125949734357687,1.1854888986333783,1764824214.146892,1764824215.0885398,True,stay,1.1349639892578125,1764824219.4570959,False,1764824218.3221319,0.0,False,1.0,False,1.0,0.08740502656423133,0.9125949734357687,1764824219.4599,0.0,False,
1,9,recognition,studied,True,PLACEHOLDERS/IMAGE_5.png,1764824221.509027,True,0.0,3.175715684890747,1764824225.7376819,False,1764824224.84948,0.6565494970651174,1.7890127177890065,1764824225.739855,1764824227.179355,False,stay,3.2434990406036377,1764824233.655585,False,1764824230.412085,0.0,False,0.0,True,0.0,0.6565494970651174,0.6565494970651174,1764824233.6618948,1.0,False,
1,10,recognition,studied,True,PLACEHOLDERS/IMAGE_70.png,1764824235.692447,True,0.14930555555555558,4.90022087097168,1764824241.640151,False,1764824238.9769511,0.7759297307169901,1.7746240452956334,1764824241.64445,1764824243.0159302,False,stay,1.0558722019195557,1764824247.305741,False,1764824246.249867,0.14930555555555558,False,0.0,True,0.14930555555555558,0.7759297307169901,0.6266241751614345,1764824247.311415,0.8506944444444444,False,
2,1,recognition,studied,True,PLACEHOLDERS/IMAGE_81.png,1764824314.349644,True,0.18402777777777782,4.139595985412598,1764824319.537903,False,1764824318.338229,0.33664735863586837,1.7728295500575875,1764824319.548713,1764824320.917473,True,stay,1.1941797733306885,1764824325.339558,False,1764824324.145377,0.18402777777777782,False,0.0,True,0.18402777777777782,0.33664735863586837,0.15261958085809055,1764824325.3431208,0.8159722222222222,False,
2,2,recognition,studied,True,PLACEHOLDERS/IMAGE_65.png,1764824327.3675818,True,0.8062574522425963,7.003683090209961,1764824335.404856,True,1764824335.028231,0.42984458617046417,1.3411391326301092,1764824336.922535,1764824337.969596,True,switch,1.0976581573486328,1764824342.3157701,False,1764824341.218111,0.42984458617046417,True,0.0,True,0.8062574522425963,0.42984458617046417,0.3764128660721321,1764824342.317112,1.0701554138295357,True,1764824343.839568
2,3,recognition,studied,True,PLACEHOLDERS/IMAGE_90.png,1764824346.366582,True,0.982638888888889,5.362669229507446,1764824352.771667,False,1764824351.739504,0.3961428442689617,1.1369798803873963,1764824352.777733,1764824353.676745,True,stay,4.7689268589019775,1764824361.9210088,False,1764824357.152082,0.982638888888889,False,0.0,False,0.982638888888889,0.3961428442689617,0.5864960446199272,1764824361.927671,0.01736111111111105,False,
2,4,recognition,lure,False,PLACEHOLDERS/LURE_16.png,1764824363.951359,True,0.24479166666666669,5.979604005813599,1764824370.972565,False,1764824369.03861,0.12966035259067346,1.7369712997583606,1764824370.9779332,1764824372.336274,False,stay,2.574517250061035,1764824378.137989,False,1764824375.563471,0.24479166666666669,False,1.0,False,0.7552083333333333,0.8703396474093266,0.11513131407599322,1764824378.143163,0.24479166666666674,False,
2,5,recognition,lure,False,PLACEHOLDERS/LURE_43.png,1764824380.174828,True,0.9375,3.8939340114593506,1764824385.121778,False,1764824382.953824,0.015839105135696346,1.7239275183717118,1764824385.1261492,1764824386.5426261,False,stay,1.0500822067260742,1764824390.820787,False,1764824389.7707038,0.9375,False,1.0,True,0.0625,0.9841608948643037,0.9216608948643037,1764824390.827435,0.9375,False,
