timestamp,event_type
1771260860.514482021,study_fixation_offset_trigger
1771260860.583249331,study_image_onset_trigger
1771260861.605703354,study_image_offset_trigger
1771260861.634291887,study_fixation_onset_trigger
1771260862.068770647,study_fixation_offset_trigger
1771260862.131719112,study_image_onset_trigger
1771260863.144151211,study_image_offset_trigger
1771260863.172145844,study_fixation_onset_trigger
1771260863.516683817,study_fixation_offset_trigger
1771260863.602870464,study_image_onset_trigger
1771260864.623487473,study_image_offset_trigger
1771260864.649889946,study_fixation_onset_trigger
1771260864.948044300,study_fixation_offset_trigger
1771260865.018753767,study_image_onset_trigger
1771260866.039697886,study_image_offset_trigger
1771260866.069394112,study_fixation_onset_trigger
1771260866.466187477,study_fixation_offset_trigger
1771260866.575552702,study_image_onset_trigger
1771260867.586206198,study_image_offset_trigger
1771260867.615398645,study_fixation_onset_trigger
1771260867.996989489,study_fixation_offset_trigger
1771260868.023532391,study_image_onset_trigger
1771260869.037401199,study_image_offset_trigger
1771260869.065793753,study_fixation_onset_trigger
1771260869.560606241,study_fixation_offset_trigger
1771260869.778683424,study_image_onset_trigger
1771260870.792164564,study_image_offset_trigger
1771260870.820140123,study_fixation_onset_trigger
1771260871.344397306,study_fixation_offset_trigger
1771260871.395312786,study_image_onset_trigger
1771260872.407109976,study_image_offset_trigger
1771260872.435572386,study_fixation_onset_trigger
1771260873.456453562,study_fixation_offset_trigger
1771260873.597302198,instruction_onset
1771260875.616596222,instruction_continue
1771260876.460535526,recognition_fixation_onset_trigger
1771260876.983120441,recognition_fixation_offset_trigger
1771260877.011871815,recognition_image_onset_trigger
1771260878.033875227,recognition_image_offset_trigger
1771260879.951930523,participant_commit_trigger
1771260880.071650982,partner_rating_onset
1771260881.065549374,partner_slider_settled_trigger
1771260882.071576118,partner_rating_complete
1771260882.744897127,switch_stay_trigger
1771260883.894008160,switch_stay_response_trigger
1771260883.966247320,outcome_trigger
1771260886.034580231,recognition_fixation_onset_trigger
1771260886.637655735,recognition_fixation_offset_trigger
1771260886.710103989,recognition_fixation_onset_trigger
1771260887.223502159,recognition_fixation_offset_trigger
1771260887.250525236,recognition_image_onset_trigger
1771260888.274308920,recognition_image_offset_trigger
1771260891.317036867,participant_commit_trigger
1771260891.441253424,partner_rating_onset
1771260893.054240704,partner_slider_settled_trigger
1771260894.049676895,partner_rating_complete
1771260894.736065388,switch_stay_trigger
1771260896.285502195,switch_stay_response_trigger
1771260896.375599861,outcome_trigger
1771260898.447786570,recognition_fixation_onset_trigger
1771260899.162477493,recognition_fixation_offset_trigger
1771260899.249194384,recognition_fixation_onset_trigger
1771260899.764050722,recognition_fixation_offset_trigger
1771260899.792087078,recognition_image_onset_trigger
