block,phase,trial,image_path,study_fixation_onset_trigger,study_fixation_offset_trigger,fixation_duration,study_image_onset_trigger,study_image_offset_trigger,image_duration
5,study,3,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\smallanimal\Monkey\Image_068.jpg,1771261271.5023875,1771261271.8180556,0.295502631721704,1771261271.886697,1771261272.9111924,1.0
5,study,4,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\VEGETABLE\Pepper\Image_089.jpg,1771261272.9487958,1771261273.4953547,0.5222854449405725,1771261273.6893556,1771261274.7123246,1.0
5,study,5,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\bigobject\coatrack\Image_015.jpg,1771261274.7488792,1771261275.1554964,0.3940845526108737,1771261275.211345,1771261276.2232583,1.0
5,study,6,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\FOOD\Hotdog\Image_035.jpg,1771261276.257426,1771261276.9187849,0.6444979521141692,1771261277.1805923,1771261278.2094738,1.0
5,study,7,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\BIRD\Hawk\Image_025.jpg,1771261278.2402742,1771261278.8401237,0.5831665416531748,1771261278.8867543,1771261279.9070778,1.0
5,study,8,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\smallobject\Balloon\Image_071.jpg,1771261279.9373071,1771261280.4199843,0.46200576738382804,1771261280.4713376,1771261281.4885292,1.0
5,study,9,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\FRUIT\Orange\Image_046.jpg,1771261281.5163445,1771261282.2368262,0.6954291659913193,1771261282.2982593,1771261283.3123941,1.0
5,study,10,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\INSECT\Mosquito\Image_058.jpg,1771261283.3506172,1771261283.6752832,0.302819593130938,1771261283.769437,1771261284.7899144,1.0
6,study,1,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\smallobject\PairOfGlasses\Image_077.jpg,1771261396.8199077,1771261397.3036113,0.4575517991713513,1771261397.369808,1771261398.3911316,1.0
6,study,2,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\FRUIT\Coconut\Image_044.jpg,1771261398.4217296,1771261398.960332,0.5203776087530938,1771261399.06636,1771261400.0894928,1.0
