ai_correct,ai_decision_time,ai_final_slider_display_time,ai_reliability,ai_rt,ai_slider_display_time,ai_slider_value,block,block_duration_minutes,block_duration_seconds,block_end_time,block_start_time,euclidean_ai_to_truth,euclidean_participant_to_ai,euclidean_participant_to_truth,final_answer,ground_truth,image_path,is_studied,outcome_trigger,participant_accuracy,participant_commit_time,participant_commit_trigger,participant_first,participant_rt,participant_slider_click_times,participant_slider_decision_onset_time,participant_slider_stop_time,participant_slider_timeout,participant_slider_value,partner_rating_complete_trigger,partner_rating_onset_trigger,partner_slider_settled_trigger,phase,points_earned,recognition_fixation_offset_trigger,recognition_fixation_onset_trigger,recognition_image_offset_trigger,recognition_image_onset_trigger,switch_commit_time,switch_rt,switch_stay_decision,switch_stay_response_trigger,switch_stay_trigger,switch_timeout,trial,trial_type,used_ai_answer
True,1771260972.4601908,1771260974.7833226,0.75,2.220324495436079,1771260974.4485197,0.8919743944430176,2,2.336991274356842,140.21947646141052,1771260996.8252757,1771260856.6057992,0.10802560555698237,0.09196657777920458,0.01605902777777779,0.9839409722222222,1.0,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\INSECT\Fly\Lure_057.jpg,False,1771260977.419562,True,1771260972.4591713,1771260972.442013,True,3.2862391471862793,1771260971.0614045,1771260971.0614045,1771260971.0614045,False,0.9839409722222222,1771260975.4846313,1771260972.5674417,1771260974.4608777,recognition,0.9839409722222222,1771260967.9587772,1771260967.4386802,1771260969.0091956,1771260967.9863222,1771260977.3679316,1.1784605979919434,stay,1771260977.3454328,1771260976.166512,False,9,lure,False
False,1771260981.4915414,1771260983.0264394,0.75,1.2186705232006014,1771260982.7355385,0.5332337818732314,2,2.336991274356842,140.21947646141052,1771260996.8252757,1771260856.6057992,0.5332337818732314,0.36607177368232413,0.8993055555555556,0.8993055555555556,0.0,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\bigobject\Barrel\Image_011.jpg,True,1771260991.984671,False,1771260989.4503157,1771260989.4250855,False,5.078790903091431,1771260988.2740698,1771260988.2740698,1771260988.2740698,False,0.8993055555555556,1771260983.750672,1771260981.6122124,1771260982.7437725,recognition,0.10069444444444442,1771260980.4303918,1771260979.9184115,1771260981.4829993,1771260980.4587052,1771260991.898837,2.256834030151367,stay,1771260991.8704383,1771260989.6203141,False,10,studied,False
False,1771261022.6877735,1771261024.3442903,0.75,1.31029999720451,1771261024.0420575,0.5615376720972907,3,2.3001842697461448,138.01105618476868,1771261136.9385555,1771260998.9274993,0.5615376720972907,0.5498189220972907,0.011718749999999983,0.5615376720972907,0.0,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\VEHICLE\Boat\Image_093.jpg,True,1771261026.5905037,False,1771261022.6867743,1771261022.6626463,True,1.739283800125122,1771261022.0456905,1771261022.0456905,1771261022.0456905,False,0.011718749999999983,1771261025.0604599,1771261022.7922611,1771261024.0540566,recognition,0.43846232790270934,1771261019.7575626,1771261019.2268596,1771261020.8088138,1771261019.785023,1771261026.5096297,0.7555396556854248,switch,1771261026.4858012,1771261025.7379773,False,1,studied,True
True,1771261030.8678331,1771261033.136076,0.75,2.1869718099188176,1771261032.7903442,0.9257887916248597,3,2.3001842697461448,138.01105618476868,1771261136.9385555,1771260998.9274993,0.07421120837514028,0.01129226384708193,0.08550347222222221,0.9257887916248597,1.0,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\smallobject\Camera\Lure_074.jpg,False,1771261037.3457892,True,1771261036.19296,1771261036.173007,False,1.7572689056396484,1771261035.4338825,1771261035.4338825,1771261035.4338825,False,0.9144965277777778,1771261033.8327582,1771261030.9548175,1771261032.8035061,recognition,0.9257887916248597,1771261029.7957807,1771261029.2767885,1771261030.8489048,1771261029.8283656,1771261037.2594728,0.8752346038818359,switch,1771261037.2347693,1771261036.3572824,False,2,lure,True
False,1771261041.5439177,1771261043.4898643,0.75,1.7226221639679336,1771261043.1869845,0.4425461755287565,3,2.3001842697461448,138.01105618476868,1771261136.9385555,1771260998.9274993,0.5574538244712435,0.5435649355823546,0.01388888888888884,0.9861111111111112,1.0,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\FRUIT\Pineapple\Lure_048.jpg,False,1771261048.6750038,True,1771261047.034058,1771261047.0075924,False,2.208238363265991,1771261046.255986,1771261046.255986,1771261046.255986,False,0.9861111111111112,1771261044.2044091,1771261041.6570475,1771261043.1979928,recognition,0.9861111111111112,1771261040.4782522,1771261039.9551058,1771261041.525202,1771261040.500334,1771261048.6061194,1.4058349132537842,stay,1771261048.5836236,1771261047.1738706,False,3,lure,False
True,1771261056.7497044,1771261058.464923,0.75,1.4227088932472423,1771261058.1684687,0.23005391816908793,3,2.3001842697461448,138.01105618476868,1771261136.9385555,1771260998.9274993,0.23005391816908793,0.19012336261353238,0.03993055555555555,0.03993055555555555,0.0,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\BIRD\Peacock\Image_029.jpg,True,1771261061.0881639,True,1771261056.748705,1771261056.7217917,True,3.7910730838775635,1771261054.1305306,1771261054.1305306,1771261054.1305306,False,0.03993055555555555,1771261059.1916785,1771261056.8713996,1771261058.1810915,recognition,0.9600694444444444,1771261051.7732167,1771261051.255875,1771261052.8389418,1771261051.8180141,1771261061.0140448,1.123450517654419,stay,1771261060.9893308,1771261059.8731964,False,4,studied,False
True,1771261065.174912,1771261067.2905293,0.75,1.8390563801458015,1771261066.9877605,0.9420077230982479,3,2.3001842697461448,138.01105618476868,1771261136.9385555,1771260998.9274993,0.05799227690175213,0.9367993897649145,0.9947916666666666,0.005208333333333338,1.0,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\smallanimal\Groundhog\Lure_065.jpg,False,1771261073.6305957,False,1771261072.638227,1771261072.6168478,False,4.02553129196167,"1771261071.7610793,1771261071.7785716",1771261071.7610793,1771261071.7785716,False,0.005208333333333338,1771261067.993014,1771261065.3099859,1771261067.0017695,recognition,0.00520833333333337,1771261064.1061947,1771261063.5857756,1771261065.1572835,1771261064.1375911,1771261073.5409167,0.7083148956298828,stay,1771261073.519818,1771261072.8131654,False,5,lure,False
True,1771261079.9726903,1771261081.6238332,0.75,1.313645045007895,1771261081.3244598,0.8728582736245051,3,2.3001842697461448,138.01105618476868,1771261136.9385555,1771260998.9274993,0.12714172637549492,0.08721117081993934,0.03993055555555558,0.8728582736245051,1.0,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\INSECT\Bee\Lure_052.jpg,False,1771261084.4650443,True,1771261079.9716854,1771261079.9509795,True,2.1218338012695312,1771261079.3619704,1771261079.3619704,1771261079.3619704,False,0.9600694444444444,1771261082.3345237,1771261080.0922642,1771261081.333384,recognition,0.8728582736245051,1771261076.6638975,1771261076.1504893,1771261077.73137,1771261076.7091768,1771261084.3930542,1.3493165969848633,switch,1771261084.3687692,1771261083.0251691,False,6,lure,True
True,1771261088.485498,1771261090.2388453,0.75,1.6743445931969767,1771261089.9696875,0.14376401070479136,3,2.3001842697461448,138.01105618476868,1771261136.9385555,1771260998.9274993,0.14376401070479136,0.562399183739653,0.7061631944444444,0.7061631944444444,0.0,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\bigobject\Chair\Image_013.jpg,True,1771261094.3711898,False,1771261093.3684227,1771261093.341824,False,1.7936148643493652,"1771261092.7027273,1771261092.978993",1771261092.7027273,1771261092.978993,False,0.7061631944444444,1771261090.948221,1771261088.5537026,1771261089.973265,recognition,0.2938368055555556,1771261087.4234653,1771261086.9035316,1771261088.4692206,1771261087.4517696,1771261094.294879,0.6919302940368652,stay,1771261094.2707658,1771261093.5774174,False,7,studied,False
True,1771261107.2823598,1771261109.0895393,0.75,1.5676012558721035,1771261108.7925644,0.12718896525821535,3,2.3001842697461448,138.01105618476868,1771261136.9385555,1771260998.9274993,0.12718896525821535,0.75266305026006,0.8798520155182753,0.8798520155182753,0.0,C:\Users\qasim\Desktop\SocialRecognitionTask\STIMULI\VEGETABLE\Asparagus\Image_082.jpg,True,1771261111.8799372,False,1771261105.6743786,,True,7.00652551651001,,,,True,0.8798520155182753,1771261109.7846272,1771261107.3976307,1771261108.8008046,recognition,0.1201479844817247,1771261097.455865,1771261096.939453,1771261098.506927,1771261097.4839952,1771261111.8221812,1.3412489891052246,stay,1771261111.7719448,1771261110.4612617,False,8,studied,False
